LOADED: PID=0, Name=p0, CurrentInstruction=0, Instructions=1180, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=1, Name=p1, CurrentInstruction=0, Instructions=1121, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=2, Name=p2, CurrentInstruction=0, Instructions=1866, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=3, Name=p3, CurrentInstruction=0, Instructions=1961, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=4, Name=p4, CurrentInstruction=0, Instructions=1219, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=5, Name=p5, CurrentInstruction=0, Instructions=1290, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=6, Name=p6, CurrentInstruction=0, Instructions=1413, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=7, Name=p7, CurrentInstruction=0, Instructions=1075, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=8, Name=p8, CurrentInstruction=0, Instructions=1270, Size=512, Pages=8, Time=2025-08-03 18:19:03
STORED: PID=2, Name=p2, CurrentInstruction=5, Instructions=1866, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=2, Name=p2, CurrentInstruction=5, Instructions=1866, Size=512, Pages=8, Time=2025-08-03 18:19:03
STORED: PID=0, Name=p0, CurrentInstruction=10, Instructions=1180, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=9, Name=p9, CurrentInstruction=0, Instructions=1499, Size=512, Pages=8, Time=2025-08-03 18:19:03
STORED: PID=3, Name=p3, CurrentInstruction=5, Instructions=1961, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=3, Name=p3, CurrentInstruction=5, Instructions=1961, Size=512, Pages=8, Time=2025-08-03 18:19:03
STORED: PID=1, Name=p1, CurrentInstruction=10, Instructions=1121, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=10, Name=p10, CurrentInstruction=0, Instructions=1489, Size=512, Pages=8, Time=2025-08-03 18:19:03
STORED: PID=4, Name=p4, CurrentInstruction=5, Instructions=1219, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=11, Name=p11, CurrentInstruction=0, Instructions=1314, Size=512, Pages=8, Time=2025-08-03 18:19:03
STORED: PID=2, Name=p2, CurrentInstruction=10, Instructions=1866, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=4, Name=p4, CurrentInstruction=5, Instructions=1219, Size=512, Pages=8, Time=2025-08-03 18:19:03
STORED: PID=5, Name=p5, CurrentInstruction=5, Instructions=1290, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=12, Name=p12, CurrentInstruction=0, Instructions=1760, Size=512, Pages=8, Time=2025-08-03 18:19:03
STORED: PID=3, Name=p3, CurrentInstruction=10, Instructions=1961, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=5, Name=p5, CurrentInstruction=5, Instructions=1290, Size=512, Pages=8, Time=2025-08-03 18:19:03
STORED: PID=6, Name=p6, CurrentInstruction=5, Instructions=1413, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=13, Name=p13, CurrentInstruction=0, Instructions=1119, Size=512, Pages=8, Time=2025-08-03 18:19:03
STORED: PID=7, Name=p7, CurrentInstruction=5, Instructions=1075, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=14, Name=p14, CurrentInstruction=0, Instructions=1927, Size=512, Pages=8, Time=2025-08-03 18:19:03
STORED: PID=4, Name=p4, CurrentInstruction=10, Instructions=1219, Size=512, Pages=8, Time=2025-08-03 18:19:03
LOADED: PID=6, Name=p6, CurrentInstruction=5, Instructions=1413, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=8, Name=p8, CurrentInstruction=5, Instructions=1270, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=0, Name=p0, CurrentInstruction=10, Instructions=1180, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=5, Name=p5, CurrentInstruction=10, Instructions=1290, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=15, Name=p15, CurrentInstruction=0, Instructions=1402, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=9, Name=p9, CurrentInstruction=5, Instructions=1499, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=16, Name=p16, CurrentInstruction=0, Instructions=1721, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=6, Name=p6, CurrentInstruction=10, Instructions=1413, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=1, Name=p1, CurrentInstruction=10, Instructions=1121, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=0, Name=p0, CurrentInstruction=15, Instructions=1180, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=17, Name=p17, CurrentInstruction=0, Instructions=1964, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=11, Name=p11, CurrentInstruction=5, Instructions=1314, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=18, Name=p18, CurrentInstruction=0, Instructions=1272, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=7, Name=p7, CurrentInstruction=10, Instructions=1075, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=8, Name=p8, CurrentInstruction=5, Instructions=1270, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=12, Name=p12, CurrentInstruction=5, Instructions=1760, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=19, Name=p19, CurrentInstruction=0, Instructions=1457, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=1, Name=p1, CurrentInstruction=15, Instructions=1121, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=2, Name=p2, CurrentInstruction=10, Instructions=1866, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=13, Name=p13, CurrentInstruction=5, Instructions=1119, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=20, Name=p20, CurrentInstruction=0, Instructions=1492, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=14, Name=p14, CurrentInstruction=5, Instructions=1927, Size=512, Pages=8, Time=2025-08-03 18:19:04
